iter	RMSE
0	2.42427111
1	2.24124046
2	2.072034739
3	1.930459913
4	1.793723609
5	1.682167255
6	1.562167174
7	1.465456417
8	1.36903567
9	1.274984643
10	1.19877868
11	1.131071685
12	1.073117936
13	1.007879431
14	0.9575130095
15	0.9039374519
16	0.8588039886
17	0.8089041677
18	0.7797054056
19	0.746244663
20	0.7077965737
21	0.6848224807
22	0.6594110598
23	0.6371881524
24	0.6092692601
25	0.5872875466
26	0.5749639587
27	0.5513579017
28	0.5364180495
29	0.5183754102
30	0.5024519269
31	0.4897210717
32	0.4746114957
33	0.462679589
34	0.4552230516
35	0.4452613868
36	0.4326688928
37	0.4226708815
38	0.4130441839
39	0.4052377207
40	0.3963239862
41	0.3920080298
42	0.3837768267
43	0.3766609086
44	0.3721759782
45	0.3680148109
46	0.3631943771
47	0.358539354
48	0.3556765426
49	0.3512485918
50	0.3473562728
51	0.3459671357
52	0.3401044125
53	0.3351422491
54	0.3324280176
55	0.326145378
56	0.319449168
57	0.3156929667
58	0.3094101944
59	0.3016469175
60	0.2965919631
61	0.2941524469
62	0.288372229
63	0.2821506676
64	0.2754569815
65	0.2712612799
66	0.2640679562
67	0.2584066008
68	0.2529437484
69	0.2492420189
70	0.2464082445
71	0.2391414291
72	0.2359444913
73	0.2338027962
74	0.2313161021
75	0.2273910917
76	0.2243353663
77	0.2233247181
78	0.2202719321
79	0.2163264552
80	0.2140599515
81	0.2126513509
82	0.2101570164
83	0.2061785054
84	0.2031452994
85	0.1980819957
86	0.1956373095
87	0.1945662231
88	0.1913380399
89	0.1896754119
90	0.1882289729
91	0.1857638428
92	0.1836598031
93	0.1805136987
94	0.1798463749
95	0.1775379532
96	0.1746176597
97	0.1731420562
98	0.1705769627
99	0.1694829415
100	0.168048474
101	0.1664654379
102	0.1641086204
103	0.1599732337
104	0.1581042534
105	0.1549843477
106	0.1538802026
107	0.1505339344
108	0.1470094409
109	0.1445776152
110	0.1421244243
111	0.1400059971
112	0.1374723317
113	0.1358462413
114	0.1334038016
115	0.1318819357
116	0.1308853407
117	0.1302450764
118	0.129709891
119	0.1290314733
120	0.1279273029
121	0.1262806607
122	0.1250728953
123	0.1238202942
124	0.1214214949
125	0.1197697549
126	0.1189835582
127	0.1181552157
128	0.1177079724
129	0.1165025182
130	0.1143517591
131	0.1135904646
132	0.1129184205
133	0.1115844513
134	0.1109823744
135	0.1106842037
136	0.110043484
137	0.1075296244
138	0.1070317754
139	0.1068106569
140	0.1049200868
141	0.1043360099
142	0.1036341598
143	0.102731445
144	0.102422947
145	0.1021039589
146	0.1006265209
147	0.09884736195
148	0.09765808858
149	0.09600615321
150	0.09550117409
151	0.09518468525
152	0.09444432358
153	0.09328531914
154	0.09243319772
155	0.09188975053
156	0.09102041598
157	0.09032935756
158	0.08945674669
159	0.08830991202
160	0.08803701886
161	0.08690519202
162	0.08642934899
163	0.08617963069
164	0.08590479554
165	0.08471440337
166	0.08426638163
167	0.08273866077
168	0.08240111165
169	0.08119888988
170	0.07982855319
171	0.07921739676
172	0.07829032904
173	0.0774982565
174	0.07727955224
175	0.075986221
176	0.07488432757
177	0.07471054865
178	0.07416447328
179	0.07375969932
180	0.07264152982
181	0.07170278762
182	0.07131579997
183	0.07065476679
184	0.06986911359
185	0.06964569381
186	0.06835506902
187	0.06823592127
188	0.06789648484
189	0.06745463624
190	0.06719335649
191	0.06667769985
192	0.06604080625
193	0.06569402909
194	0.06538038993
195	0.06489630738
196	0.0645509079
197	0.06397223003
198	0.06340714681
199	0.06258034724
