iter	Logloss
0	0.6147763526
1	0.533188895
2	0.4766875779
3	0.4262790421
4	0.3828144697
5	0.3519920477
6	0.3134563463
7	0.2853826001
8	0.2651138875
9	0.2399318595
10	0.2220762033
11	0.2073450011
12	0.1953544438
13	0.1834814748
14	0.1693611771
15	0.1596932448
16	0.1522267589
17	0.1436141734
18	0.1395809055
19	0.1326131114
20	0.1250465767
21	0.1193523545
22	0.1149149588
23	0.1111380061
24	0.1080475095
25	0.1054910997
26	0.1013214717
27	0.09746576328
28	0.0934374166
29	0.09042791793
30	0.08766555933
31	0.0847182909
32	0.08278285825
33	0.08050021342
34	0.07784273521
35	0.07566087022
36	0.07360319962
37	0.07249790287
38	0.0709570116
39	0.06972089306
40	0.06765981838
41	0.06594683819
42	0.06510466138
43	0.0638638536
44	0.06264148379
45	0.06146598005
46	0.06038468548
47	0.05922307811
48	0.05814793388
49	0.05704742454
50	0.05612857198
51	0.05529652436
52	0.05445865346
53	0.05342584083
54	0.05291950407
55	0.0512097945
56	0.04997636365
57	0.04936588542
58	0.04875412746
59	0.04805529192
60	0.04704562075
61	0.04635796489
62	0.04592701493
63	0.04513297325
64	0.04453014158
65	0.04401642439
66	0.04226950407
67	0.04168258673
68	0.04096714851
69	0.03981913182
70	0.03938896806
71	0.03882603992
72	0.03767558109
73	0.03727319418
74	0.03690598709
75	0.03633415449
76	0.03570785721
77	0.03501172955
78	0.03386807076
79	0.03297547496
80	0.0325299538
81	0.03197887217
82	0.03159447254
83	0.0311240858
84	0.03058703176
85	0.03038912196
86	0.02962599736
87	0.02924429112
88	0.0289423952
89	0.02845340422
90	0.02806722949
91	0.02757996152
92	0.02694540772
93	0.02625063112
94	0.02594610491
95	0.02567695954
96	0.02541942617
97	0.0249472613
98	0.0246539645
99	0.02442604861
100	0.02398991308
101	0.02365867564
102	0.02304618893
103	0.02288482616
104	0.02262860467
105	0.02235076134
106	0.02227300512
107	0.02207335515
108	0.02182547018
109	0.02119415577
110	0.02094348976
111	0.02076606766
112	0.0204012845
113	0.020044047
114	0.01982523851
115	0.019530432
116	0.01924414034
117	0.01915418644
118	0.01899536488
119	0.01843297636
120	0.01810307043
121	0.01774657929
122	0.01736121263
123	0.01705184192
124	0.01679188618
125	0.01642348659
126	0.01603142107
127	0.01592292487
128	0.01567999463
129	0.01535565498
130	0.01508528067
131	0.01497969859
132	0.01479530312
133	0.01462774252
134	0.01436755104
135	0.01414659148
136	0.01394668906
137	0.01373420675
138	0.01356800352
139	0.01330196416
140	0.01318910405
141	0.01293788646
142	0.01268903252
143	0.01249931532
144	0.01230597586
145	0.01204595706
146	0.01166661229
147	0.0115624371
148	0.01143785373
149	0.01118534805
150	0.01106652092
151	0.01089136253
152	0.0106001194
153	0.01044431481
154	0.01029496517
155	0.01008443663
156	0.009903542585
157	0.009701872541
158	0.00957769328
159	0.009457038237
160	0.00936007071
161	0.009189284276
162	0.008991916647
163	0.008765344454
164	0.008691777743
165	0.008553773403
166	0.008459399581
167	0.008280664749
168	0.008089043051
169	0.007888504166
170	0.007758091562
171	0.007577926456
172	0.007532533435
173	0.007419400857
174	0.007252812728
175	0.00710048193
176	0.007000951113
177	0.006928389153
178	0.006804563055
179	0.006704613411
180	0.006571083494
181	0.00648946075
182	0.006408823784
183	0.006314219462
184	0.006220478422
185	0.006161218905
186	0.006123897658
187	0.006043919552
188	0.005954163864
189	0.005808189116
190	0.005778218915
191	0.005686571465
192	0.005662042313
193	0.005569277132
194	0.005517950592
195	0.00549142681
196	0.005410953549
197	0.005350313041
198	0.005241252756
199	0.005200141814
